key,item
554,2835
554,4518
554,2198
554,2014
554,3818
554,3045
554,4570
554,4585
554,4596
554,4599
554,4609
554,4617
554,4627
554,4641
554,4643
554,4651
554,4665
554,4676
554,4682
554,4694
554,4696
554,4708
10772,3293
10772,2534
10772,979
10772,2014
10772,2317
6350,4477
6350,2895
6350,4039
6350,3282
6350,765
6350,2669
9218,3133
9218,2052
9218,979
9218,3355
9218,107
9218,1878
9218,1105
9218,4571
9218,4582
9218,4593
9218,4598
9218,4609
9218,4619
9218,4629
9218,4636
9218,4642
9218,4652
9218,4662
9218,4675
9218,4683
9218,4689
9218,4704
9218,4713
7787,1151
7787,631
7787,2613
7787,2791
7787,648
7787,1684
7787,3818
7787,107
7787,1878
7787,1105
7787,4570
7787,4585
7787,4596
7787,4599
7787,4613
7787,4618
7787,4628
7787,4640
7787,4647
7787,4651
7787,4668
7787,4670
7787,4678
7787,4695
7787,4696
7787,4708
756,3232
756,4193
756,296
756,1337
756,2832
756,1437
756,4572
756,4587
756,4590
756,4605
756,4613
756,4615
756,4632
756,4634
756,4643
756,4659
756,4660
756,4673
756,4686
756,4687
756,4700
756,4713
21527,3383
21527,3832
21527,4328
21527,3939
21527,2332
21527,2566
21527,3244
21527,66
4506,2835
4506,2320
4506,3643
4506,2926
4506,3320
4506,1792
4506,3056
4506,4575
4506,4584
4506,4594
4506,4599
4506,4611
4506,4621
4506,4629
4506,4639
4506,4646
4506,4654
4506,4667
4506,4672
4506,4682
4506,4693
4506,4699
4506,4711
18282,1080
18282,1326
18282,2158
18282,2868
18282,4173
18282,2118
18282,4479
18282,448
18282,4575
18282,4583
18282,4592
18282,4597
18282,4612
18282,4622
18282,4630
18282,4637
18282,4650
18282,4658
18282,4662
18282,4676
18282,4684
18282,4689
18282,4698
18282,4708
20267,3251
20267,2620
20267,693
20267,216
20267,1444
20267,1602
20267,1871
20267,1910
18794,3251
18794,3186
18794,3403
18794,3137
18794,1072
18794,3406
18794,3818
18794,2492
18794,2192
18794,692
3761,1080
3761,4193
3761,2198
3761,3381
3761,559
3761,4355
3761,1830
3761,4576
3761,4584
3761,4593
3761,4602
3761,4611
3761,4620
3761,4627
3761,4637
3761,4645
3761,4657
3761,4664
3761,4674
3761,4683
3761,4692
3761,4700
3761,4709
21057,3383
21057,21
21057,2431
21057,4323
3560,3383
3560,1625
3560,2431
3560,3551
3560,779
3560,4577
3560,4586
3560,4588
3560,4598
3560,4606
3560,4616
3560,4632
3560,4639
3560,4645
3560,4659
3560,4668
3560,4676
3560,4679
3560,4691
3560,4697
3560,4705
21102,806
