,page_type
0,tvshow
1,government
2,company
3,government
4,politician
5,politician
6,politician
7,politician
8,government
9,government
10,government
11,politician
12,government
13,government
14,government
15,government
16,company
17,politician
18,government
19,company
20,politician
21,company
22,government
23,company
24,company
25,company
26,government
27,tvshow
28,company
29,company
30,company
31,government
32,government
33,politician
34,politician
35,company
36,company
37,government
38,government
39,government
40,politician
41,government
42,company
43,government
44,tvshow
45,company
46,politician
47,government
48,company
49,company
50,government
51,politician
52,tvshow
53,company
54,government
55,tvshow
56,government
57,company
58,government
59,politician
60,politician
61,company
62,politician
63,company
64,government
65,company
66,company
67,politician
68,tvshow
69,tvshow
70,tvshow
71,politician
72,government
73,politician
74,government
75,government
76,company
77,politician
78,politician
79,tvshow
80,government
81,government
82,politician
83,government
84,government
85,government
86,company
87,government
88,government
89,politician
90,government
91,company
92,company
93,politician
94,government
95,politician
96,tvshow
97,politician
98,government
99,tvshow
100,government
101,tvshow
102,company
103,politician
104,government
105,company
106,politician
107,company
108,politician
109,politician
110,government
111,tvshow
112,government
113,politician
114,politician
115,company
116,politician
117,tvshow
118,politician
119,tvshow
120,government
121,government
122,government
123,government
124,company
125,company
126,company
127,company
128,company
129,politician
130,government
131,company
132,company
133,government
134,company
135,company
136,government
137,government
138,politician
139,company
140,tvshow
141,tvshow
142,company
143,government
144,politician
145,politician
146,politician
147,government
148,government
149,company
150,company
151,tvshow
152,tvshow
153,tvshow
154,government
155,politician
156,politician
157,government
158,company
159,government
160,government
161,tvshow
162,politician
163,government
164,company
165,government
166,government
167,government
168,company
169,government
170,government
171,government
172,company
173,government
174,company
175,tvshow
176,politician
177,government
178,tvshow
179,company
180,politician
181,government
182,government
183,government
184,company
185,tvshow
186,politician
187,politician
188,government
189,government
190,company
191,politician
192,government
193,company
194,company
195,politician
196,government
197,government
198,company
199,company
200,politician
201,company
202,politician
203,politician
204,company
205,company
206,government
207,government
208,government
209,politician
210,politician
211,politician
212,politician
213,government
214,company
215,government
216,politician
217,politician
218,government
219,government
220,politician
221,company
222,government
223,company
224,government
225,politician
226,tvshow
227,company
228,government
229,politician
230,politician
231,politician
232,government
233,tvshow
234,politician
235,government
236,company
237,company
238,government
239,politician
240,government
241,politician
242,government
243,company
244,politician
245,company
246,politician
247,tvshow
248,company
249,government
250,company
251,company
252,government
253,government
254,government
255,company
256,politician
257,politician
258,tvshow
259,company
260,government
261,tvshow
262,company
263,tvshow
264,tvshow
265,tvshow
266,government
267,tvshow
268,politician
269,politician
270,government
271,company
272,politician
273,company
274,tvshow
275,tvshow
276,government
277,government
278,company
279,company
280,company
281,tvshow
282,tvshow
283,politician
284,politician
285,company
286,company
287,company
288,company
289,government
290,politician
291,politician
292,government
293,politician
294,government
295,tvshow
296,government
297,tvshow
298,tvshow
299,government
300,government
301,government
302,politician
303,government
304,politician
305,government
306,company
307,government
308,government
309,government
310,government
311,politician
312,company
313,government
314,politician
315,government
316,tvshow
317,politician
318,company
319,company
320,government
321,politician
322,politician
323,government
324,government
325,government
326,government
327,company
328,company
329,government
330,company
331,company
332,politician
333,company
334,politician
335,government
336,government
337,government
338,government
339,government
340,company
341,government
342,politician
343,government
344,tvshow
345,government
346,government
347,government
348,company
349,company
350,government
351,company
352,company
353,politician
354,tvshow
355,company
356,government
357,tvshow
358,government
359,company
360,politician
361,politician
362,politician
363,company
364,politician
365,politician
366,tvshow
367,tvshow
368,government
369,politician
370,government
371,government
372,politician
373,company
374,government
375,government
376,tvshow
377,government
378,government
379,company
380,government
381,tvshow
382,government
383,government
384,company
385,government
386,government
387,tvshow
388,company
389,politician
390,tvshow
391,government
392,government
393,tvshow
394,company
395,government
396,tvshow
397,tvshow
398,politician
399,company
400,government
401,company
402,government
403,politician
404,government
405,government
406,government
407,government
408,company
409,company
410,tvshow
411,company
412,politician
413,politician
414,company
415,government
416,company
417,politician
418,government
419,tvshow
420,company
421,company
422,politician
423,company
424,government
425,company
426,government
427,politician
428,tvshow
429,company
430,government
431,government
432,government
433,company
434,tvshow
435,politician
436,government
437,company
438,politician
439,company
440,politician
441,tvshow
442,politician
443,politician
444,politician
445,politician
446,company
447,politician
448,politician
449,tvshow
450,tvshow
451,tvshow
452,tvshow
453,politician
454,company
455,company
456,politician
457,politician
458,government
459,politician
460,politician
461,company
462,company
463,company
464,company
465,company
466,politician
467,company
468,politician
469,politician
470,politician
471,company
472,company
473,company
474,government
475,company
476,politician
477,company
478,government
479,politician
480,company
481,company
482,tvshow
483,company
484,company
485,politician
486,government
487,company
488,politician
489,company
490,government
491,politician
492,politician
493,company
494,politician
495,tvshow
496,government
497,company
498,government
499,tvshow
500,company
501,government
502,politician
503,company
504,government
505,government
506,company
507,tvshow
508,government
509,company
510,politician
511,politician
512,tvshow
513,company
514,government
515,politician
516,company
517,government
518,politician
519,company
520,company
521,company
522,government
523,politician
524,government
525,government
526,tvshow
527,politician
528,politician
529,tvshow
530,government
531,company
532,politician
533,company
534,government
535,politician
536,government
537,government
538,politician
539,company
540,company
541,politician
542,politician
543,politician
544,government
545,tvshow
546,government
547,company
548,government
549,politician
550,tvshow
551,government
552,politician
553,politician
554,politician
555,company
556,politician
557,politician
558,tvshow
559,government
560,government
561,company
562,politician
563,company
564,politician
565,government
566,company
567,government
568,tvshow
569,company
570,government
571,government
572,government
573,tvshow
574,company
575,politician
576,tvshow
577,politician
578,government
579,company
580,tvshow
581,politician
582,government
583,politician
584,tvshow
585,government
586,government
587,company
588,politician
589,politician
590,company
591,government
592,government
593,politician
594,politician
595,government
596,company
597,tvshow
598,tvshow
599,company
600,politician
601,politician
602,company
603,company
604,government
605,company
606,politician
607,company
608,tvshow
609,politician
610,company
611,government
612,tvshow
613,government
614,government
615,company
616,politician
617,politician
618,company
619,politician
620,government
621,politician
622,government
623,government
624,government
625,company
626,government
627,government
628,company
629,company
630,government
631,politician
632,politician
633,tvshow
634,company
635,government
636,company
637,tvshow
638,government
639,politician
640,company
641,tvshow
642,company
643,politician
644,company
645,politician
646,company
647,politician
648,company
649,company
650,company
651,politician
652,tvshow
653,tvshow
654,company
655,company
656,politician
657,tvshow
658,politician
659,government
660,government
661,tvshow
662,tvshow
663,government
664,government
665,company
666,government
667,politician
668,company
669,tvshow
670,company
671,politician
672,company
673,company
674,company
675,government
676,tvshow
677,politician
678,government
679,government
680,company
681,tvshow
682,company
683,government
684,tvshow
685,government
686,company
687,government
688,company
689,politician
690,politician
691,company
692,company
693,company
694,government
695,government
696,politician
697,government
698,government
699,company
700,tvshow
701,company
702,politician
703,government
704,politician
705,company
706,company
707,politician
708,company
709,government
710,government
711,tvshow
712,politician
713,politician
714,politician
715,government
716,politician
717,tvshow
718,company
719,politician
720,politician
721,politician
722,politician
723,government
724,government
725,company
726,company
727,tvshow
728,company
729,government
730,government
731,politician
732,government
733,company
734,government
735,tvshow
736,company
737,company
738,politician
739,government
740,company
741,government
742,tvshow
743,politician
744,company
745,company
746,tvshow
747,tvshow
748,government
749,tvshow
750,company
751,company
752,government
753,tvshow
754,government
755,company
756,company
757,government
758,tvshow
759,company
760,politician
761,tvshow
762,politician
763,government
764,government
765,politician
766,government
767,government
768,politician
769,tvshow
